"행정구역별(시군구)","주택의 종류별","항목","단위","2022 년","2023 년",
"용산구","다세대주택","(건축연도) 2023년","","","41",
"용산구","다세대주택","(건축연도) 2022년","","36","33",
"용산구","다세대주택","(건축연도) 2021년","","15","21",
"용산구","다세대주택","(건축연도) 2020년","","12","22",
"용산구","다세대주택","(건축연도) 2019년","","14","8",
"용산구","다세대주택","(건축연도) 2018년","","14","6",
"용산구","다세대주택","(건축연도) 2017년","","9","8",
"용산구","다세대주택","(건축연도) 2016년","","21","16",
"용산구","다세대주택","(건축연도) 2015년","","9","11",
"용산구","다세대주택","(건축연도) 2014년","","6","7",
"용산구","다세대주택","(건축연도) 2013년","","19","26",
"용산구","다세대주택","(건축연도) 2012년","","8","21",
"용산구","다세대주택","(건축연도) 2011년","","5","6",
"용산구","다세대주택","(건축연도) 2010년","","9","8",
"용산구","다세대주택","(건축연도) 2005~2009년","","97","95",
"용산구","다세대주택","(건축연도) 2000~2004년","","221","271",
"용산구","다세대주택","(건축연도) 1990~1999년","","403","537",
"용산구","다세대주택","(건축연도) 1980~1989년","","194","225",
"용산구","다세대주택","(건축연도) 1979년 이전","","140","133",
"용산구","비주거용 건물 내 주택","주택_계","","92","101",
"용산구","비주거용 건물 내 주택","(건축연도) 2023년","","","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2022년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2021년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2020년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2019년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2018년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2017년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2016년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2015년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2014년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2013년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2012년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2011년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2010년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2005~2009년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 2000~2004년","","X","X",
"용산구","비주거용 건물 내 주택","(건축연도) 1990~1999년","","20","20",
"용산구","비주거용 건물 내 주택","(건축연도) 1980~1989년","","14","16",
"용산구","비주거용 건물 내 주택","(건축연도) 1979년 이전","","48","52",
"성동구","계","주택_계","","1958","2030",
"성동구","계","(건축연도) 2023년","","","5",
"성동구","계","(건축연도) 2022년","","9","12",
