행정구역,소멸위험지수_역수처리,다세대주택,단독주택,폐가계산값,폐가지수,방문자,방문자지수,가중치점수,최종점수
부산광역시 동구,0.1659447815814207,605.0,1969.0,1559.8,0.2319922659329218,49824138.0,0.113459108140457,1.298782489424955,35.9022403587378
경기도 여주시,0.1935145944788343,941.0,1295.0,1188.8,0.1768126719714434,55267418.5,0.1269939806824752,1.2440230269435513,35.10178972322952
부산광역시 서구,0.1719344429049866,1362.0,1196.0,1245.8,0.1852903993455789,39489593.5,0.0877619678612973,1.240019476839075,35.04326752304347
경상남도 거제시,0.0778978964206815,1007.0,3916.0,3043.3,0.4526362757492377,107176051.5,0.2560662802792713,1.2352657487925782,34.97377953935217
부산광역시 부산진구,0.0759226739045448,4631.0,2814.0,3359.1,0.4996058600431323,147943036.5,0.3574345536756849,1.163561842300751,33.925642196161476
부산광역시 사하구,0.1406562132930183,1844.0,1797.0,1811.1,0.2693686324087157,74815128.5,0.1755999203062616,1.1601871230787155,33.87631197954626
인천광역시 미추홀구,0.0785286898504145,6854.0,1292.0,2960.6,0.4403361344537815,115770105.5,0.2774356411838254,1.1587805702457663,33.85575158581718
대구광역시 서구,0.1856409681264838,659.0,1030.0,918.7,0.1366401427827768,43186388.0,0.0969541530465975,1.1442169628875545,33.64286694018845
부산광역시 금정구,0.1495813879188238,2305.0,1333.0,1624.6,0.2416301033687811,74188695.0,0.1740422755039131,1.1247126986926363,33.35776186496523
전라남도 목포시,0.1142466557219735,349.0,2884.0,2123.5,0.315832527701346,90353924.5,0.2142375806870599,1.0902557003397857,32.85408405332466
경상북도 칠곡군,0.1364100255678577,521.0,1583.0,1264.4,0.1880568156466126,39755702.0,0.0884236542524079,1.0693732662743105,32.548833474498295
충청남도 서산시,0.1520611289475184,1061.0,1319.0,1241.6,0.1846657246969584,57624987.0,0.1328561421412825,1.0485905345459023,32.24504030221777
경기도 포천시,0.1859017383264677,1639.0,550.0,876.7,0.1303933962965717,60999767.5,0.1412476303118421,1.0381936198983694,32.09306260631234
경기도 동두천시,0.1657100193103508,1500.0,399.0,729.3,0.1084702907711757,27876450.0,0.0588855546239734,1.0361898596173342,32.06377248698538
경기도 평택시,0.0257295217521037,7439.0,2049.0,3666.0,0.5452517290101883,166957539.0,0.4047146576106898,0.9549734805697037,30.876585847882875
울산광역시 울주군,0.1139717035532009,815.0,2038.0,1671.1,0.2485461441213654,81411323.0,0.19200154646164,0.9314938572068205,30.533370655646507
부산광역시 중구,0.1623513810962636,1041.0,452.0,628.7,0.0935078456161225,54169419.5,0.1242637747861846,0.8437528927573162,29.250810389873887
충청북도 진천군,0.1087353503241469,1266.0,603.0,801.9,0.1192682382687588,29672485.5,0.0633514482286554,0.7747785699697001,28.242572945471466
충청남도 당진시,0.1549898515636598,1037.0,514.0,670.8999999999999,0.0997843385141667,65579111.5,0.1526343000537479,0.7690336732533034,28.158596477858577
부산광역시 연제구,0.1062287555084427,1972.0,676.0,1064.8,0.1583698966312188,56927269.0,0.1311212463922444,0.7440109746513812,27.792825265169213
