,region,region_code,visitors,시도 이름,결합행정구역,visitors_scaled
70,동구,30110,71405068.0,대전광역시,대전광역시 동구,0.16712070740733598
71,동구,31170,45718211.0,울산광역시,울산광역시 동구,0.10324960330016252
72,동대문구,11230,122127848.5,서울특별시,서울특별시 동대문구,0.29324435086908013
73,동두천시,41250,27876450.0,경기도,경기도 동두천시,0.05888555462397348
74,동래구,26260,85890945.0,부산광역시,부산광역시 동래구,0.20314025460031132
75,동작구,11590,121937956.0,서울특별시,서울특별시 동작구,0.2927721777403602
76,동해시,51170,36248992.5,,,0.07970412085257958
77,마포구,11440,217273770.0,서울특별시,서울특별시 마포구,0.5298274041207665
78,목포시,46110,90353924.5,전라남도,전라남도 목포시,0.2142375806870599
79,무안군,46840,35333242.0,전라남도,전라남도 무안군,0.07742708106052966
80,무주군,52730,13308291.5,,,0.022661412129494546
81,문경시,47280,24364914.0,경상북도,경상북도 문경시,0.05015401999394508
82,미추홀구,28177,115770105.5,인천광역시,인천광역시 미추홀구,0.2774356411838254
83,밀양시,48270,38191128.5,경상남도,경상남도 밀양시,0.08453329752632714
84,보령시,44180,46096064.0,충청남도,충청남도 보령시,0.10418914558438233
85,보성군,46780,14669116.0,전라남도,전라남도 보성군,0.02604514114356163
86,보은군,43720,13541993.5,충청북도,충청북도 보은군,0.023242518832118954
87,봉화군,47920,9086294.0,경상북도,경상북도 봉화군,0.012163294673445874
88,부산진구,26230,147943036.5,부산광역시,부산광역시 부산진구,0.3574345536756849
89,부안군,52800,22185166.5,,,0.04473401553408255
90,부여군,44760,28995764.0,충청남도,충청남도 부여군,0.061668760876985154
91,부천시,41190,249449399.5,경기도,경기도 부천시,0.6098330265100038
92,부평구,28237,130529714.0,인천광역시,인천광역시 부평구,0.3141358295752904
93,북구,26320,78860901.0,부산광역시,부산광역시 북구,0.18565984926298218
94,북구,27230,142614374.0,대구광역시,대구광역시 북구,0.34418468206665576
95,북구,29170,133120410.5,광주광역시,광주광역시 북구,0.3205776704693161
96,북구,31200,64737274.0,울산광역시,울산광역시 북구,0.1505410470487648
97,사상구,26530,61019931.0,부산광역시,부산광역시 사상구,0.14129776743090133
98,사천시,48240,37587718.0,경상남도,경상남도 사천시,0.08303290007151741
99,사하구,26380,74815128.5,부산광역시,부산광역시 사하구,0.17559992030626165
100,산청군,48860,13204845.5,경상남도,경상남도 산청군,0.022404190693821407
101,삼척시,51230,28288347.5,,,0.05990974953049648
102,상주시,47250,34918457.0,경상북도,경상북도 상주시,0.07639570630272671
103,서구,26140,39489593.5,부산광역시,부산광역시 서구,0.08776196786129732
104,서구,27170,43186388.0,대구광역시,대구광역시 서구,0.09695415304659757
105,서구,28260,176976250.5,인천광역시,인천광역시 서구,0.42962647010827315
106,서구,29140,113058400.0,광주광역시,광주광역시 서구,0.2706929079526444
107,서구,30170,155907237.5,대전광역시,대전광역시 서구,0.37723776709340484
108,서귀포시,50130,98908414.5,제주특별자치도,제주특별자치도 서귀포시,0.23550856457480351
109,서대문구,11410,149341321.5,서울특별시,서울특별시 서대문구,0.3609114292936906
110,서산시,44210,57624987.0,충청남도,충청남도 서산시,0.1328561421412825
111,서천군,44770,23926602.0,충청남도,충청남도 서천군,0.049064144678198064
112,서초구,11650,276377010.0,서울특별시,서울특별시 서초구,0.6767892996578988
113,성남시 분당구,41135,224185479.0,,,0.5470135660983679
114,성남시 수정구,41131,84770913.5,,,0.20035526426304218
115,성남시 중원구,41133,60626055.0,,,0.14031838349921533
116,성동구,11200,119068596.5,서울특별시,서울특별시 성동구,0.2856374333321437
117,성북구,11290,135729804.0,서울특별시,서울특별시 성북구,0.32706600198823577
118,성주군,47840,16686614.0,경상북도,경상북도 성주군,0.031061707584291
119,세종특별자치시,36110,103787946.5,세종특별자치시,세종특별자치시 세종특별자치시,0.2476416603586234
120,속초시,51210,50043105.0,,,0.11400357584442862
121,송파구,11710,277234909.0,서울특별시,서울특별시 송파구,0.6789224900416986
122,수성구,27260,136202584.0,대구광역시,대구광역시 수성구,0.3282415829711403
123,수영구,26500,71901889.5,부산광역시,부산광역시 수영구,0.16835606826713995
124,수원시 권선구,41113,98814604.0,,,0.23527530208528036
125,수원시 영통구,41117,129369072.0,,,0.31124986006905003
126,수원시 장안구,41111,89097862.0,,,0.21111434538027962
127,수원시 팔달구,41115,107412497.5,,,0.2566542100163242
128,순창군,52770,9341836.0,,,0.012798707160296845
129,순천시,46150,90307143.5,전라남도,전라남도 순천시,0.21412125839347462
