행정구역,소멸위험,폐가,방문자,가중치점수,최종점수
부산광역시 사상구,0.118771256774769,0.0908502772643253,0.1412977674309013,0.7251093482359197,17.701068169158624
서울특별시 도봉구,0.1077051348838359,0.1181454097350585,0.1868376320669459,0.7061242715574091,17.37725339868103
경기도 파주시,0.0524265037334708,0.2553912507701787,0.3402484787265837,0.6880577922513064,17.069106481557135
충청북도 증평군,0.1211677703476616,0.0349353049907578,0.0285921259380377,0.6820526407725437,16.96668094065954
대전광역시 대덕구,0.0996649149666941,0.1025569932224276,0.1252616348684977,0.6807339196322556,16.944188464563844
광주광역시 동구,0.0880690040755539,0.1256931608133087,0.1380044697315615,0.6794200330861342,16.92177844865659
서울특별시 강북구,0.1056589369616648,0.1124768946395563,0.2006861814328228,0.6650391872941701,16.676494726169995
경기도 안성시,0.1134290664301648,0.0920209488601355,0.1864925988744064,0.656715579856824,16.534524952883768
부산광역시 북구,0.1187950783345812,0.0804990757855822,0.1856598492629821,0.6498127697666706,16.41678869598871
인천광역시 계양구,0.0583304405065211,0.1760320394331485,0.1761526470149176,0.6435956738171333,16.31074817100019
서울특별시 강서구,0.0313089089331538,0.2987677141096734,0.4187007903327907,0.6341468966619985,16.14958718874052
충청남도 아산시,0.0430662866112663,0.1971657424522489,0.2430444755582937,0.5637841848547845,14.94946112341764
울산광역시 남구,0.0544044383044123,0.190234134319162,0.2817936716651573,0.5609309228143902,14.900795089123003
경기도 이천시,0.0617104794635943,0.151324707332101,0.2076717241800168,0.5548547951342577,14.797158958310758
광주광역시 북구,0.0639169462267849,0.1739987677141096,0.3205776704693161,0.5210033638069371,14.219779490678588
경기도 남양주시,0.0680533873537233,0.2318853974121996,0.521334849752735,0.5145882792524803,14.110362016745123
부산광역시 기장군,0.0959033773276418,0.0717498459642637,0.1805741908958145,0.5141922336351856,14.103606952078563
서울특별시 양천구,0.0634693756691532,0.1441158348736907,0.2370104415141194,0.5126839414527187,14.077881099339107
대구광역시 달성군,0.0598333069645343,0.1283425754775108,0.1737796321926673,0.5104146290625367,14.039175073379223
울산광역시 동구,0.0859562836429845,0.0602895871842267,0.1032496033001625,0.50740057646744,13.98776655047379
경상남도 양산시,0.0774798546511283,0.1235982747997535,0.2558515461574754,0.5023425514974266,13.901495463847697
경기도 양주시,0.07120504057795,0.1113370301910043,0.209809822971237,0.480226470491526,13.524277409053337
경상남도 김해시,0.0507175880727645,0.1971041281577326,0.365687379336616,0.4792129455004043,13.506990443720987
경기도 의왕시,0.0485754475678109,0.1166050523721503,0.1264832626309445,0.4662091323245609,13.285193774148643
