,결합행정구역,다세대주택,단독주택,폐가지수_2023_raw,폐가지수_2023,폐가지수_2023_순위
207,강원특별자치도 정선군,170.0,850.0,578.0,0.08903265557609366,208.0
208,경기도 수원시 장안구,1389.0,29.0,573.0,0.08826247689463956,209.0
209,대구광역시 남구,306.0,733.0,562.2,0.08659889094269872,210.0
210,충청북도 청주시 흥덕구,259.0,748.0,552.4,0.08508934072704867,211.0
211,대전광역시 서구,366.0,674.0,550.8,0.08484288354898337,212.0
212,경기도 오산시,1235.0,75.0,539.0,0.0830252618607517,213.0
213,경기도 안양시 만안구,1296.0,29.0,535.8,0.08253234750462107,214.0
214,부산광역시 북구,1050.0,171.0,522.6,0.08049907578558227,215.0
215,서울특별시 노원구,474.0,524.0,504.0,0.07763401109057301,216.0
216,경기도 수원시 팔달구,1063.0,106.0,488.80000000000007,0.07529266789895257,217.0
217,전라북도 진안군,0.0,787.0,472.2,0.07273567467652496,218.0
218,부산광역시 기장군,677.0,325.0,465.8,0.07174984596426372,219.0
219,충청북도 청주시 청원구,173.0,652.0,460.4,0.07091805298829329,220.0
220,서울특별시 종로구,775.0,243.0,455.79999999999995,0.07020948860135551,221.0
221,경상남도 창원시 의창구,99.0,691.0,454.2,0.0699630314232902,222.0
222,전라북도 장수군,19.0,742.0,452.8,0.06974738139248306,223.0
223,강원특별자치도 고성군,44.0,688.0,430.40000000000003,0.0662969808995687,224.0
224,인천광역시 옹진군,374.0,428.0,406.4,0.06260012322858903,225.0
225,경상남도 창원시 마산회원구,265.0,497.0,404.2,0.06226124460874923,226.0
226,울산광역시 동구,584.0,263.0,391.4,0.06028958718422674,227.0
227,경기도 용인시 기흥구,874.0,43.0,375.40000000000003,0.05782501540357364,228.0
228,대구광역시 달서구,300.0,402.0,361.2,0.05563770794824399,229.0
229,경기도 구리시,368.0,288.0,320.0,0.049291435613062234,230.0
230,경기도 고양시 일산동구,706.0,24.0,296.8,0.04571780653111522,231.0
231,경기도 군포시,728.0,9.0,296.59999999999997,0.04568699938385705,232.0
232,강원특별자치도 태백시,34.0,462.0,290.8,0.044793592113370306,233.0
233,서울특별시 금천구,689.0,25.0,290.6,0.04476278496611214,234.0
234,서울특별시 중랑구,681.0,19.0,283.8,0.04371534195933457,235.0
235,강원특별자치도 인제군,75.0,402.0,271.2,0.04177449168207024,236.0
236,인천광역시 연수구,662.0,8.0,269.6,0.04152803450400493,237.0
237,울산광역시 북구,203.0,303.0,263.0,0.040511398644485525,238.0
238,서울특별시 관악구,452.0,135.0,261.8,0.04032655576093654,239.0
239,충청북도 증평군,54.0,342.0,226.79999999999998,0.03493530499075786,240.0
240,경기도 안양시 동안구,558.0,0.0,223.20000000000002,0.034380776340110906,241.0
241,서울특별시 동대문구,423.0,89.0,222.60000000000002,0.03428835489833642,242.0
242,서울특별시 광진구,500.0,17.0,210.2,0.032378311768330253,243.0
243,서울특별시 영등포구,393.0,82.0,206.4,0.031792975970425144,244.0
244,경기도 연천군,294.0,130.0,195.60000000000002,0.030129390018484293,245.0
