행정구역,,행정구역,소멸위험,폐가,방문자,가중치점수,최종점수,메인 캐릭터
충청남도,보령시,충청남도 보령시,0.318576907,0.20280345,0.104189146,2.097105741,41.10222185,머돌이&머순이
전라남도,영암군,전라남도 영암군,0.319128918,0.175354282,0.047464926,2.074242512,40.71226023,기찬이&기순이
경상북도,김천시,경상북도 김천시,0.218176181,0.343653728,0.092311235,2.029530851,39.94964565,금동이&금송이
전라남도,화순군,전라남도 화순군,0.269930661,0.244331485,0.058231509,2.02441625,39.8624096,들국화
경상남도,통영시,경상남도 통영시,0.235261731,0.306407887,0.095983925,1.999548389,39.43825641,통멸이
경상남도,사천시,경상남도 사천시,0.236001714,0.285520641,0.0830329,1.953537592,38.6534834,또록이
전라남도,영광군,전라남도 영광군,0.303406934,0.147288971,0.038009532,1.920892049,38.0966719,X
충청남도,홍성군,충청남도 홍성군,0.229791474,0.254128158,0.071202315,1.840139527,36.71933434,복돌이
충청남도,공주시,충청남도 공주시,0.25450888,0.218730746,0.100855458,1.827881179,36.51025252,고마곰&공주
전라남도,나주시,전라남도 나주시,0.147295205,0.378527418,0.097345207,1.774713074,35.60340247,배돌이
경상북도,울릉군,경상북도 울릉군,0.342040109,0.012476895,0,1.747631227,35.14148693,오기동이와 해호랑
인천광역시,미추홀구,인천광역시 미추홀구,0.07852869,0.541712877,0.277435641,1.74034644,35.01723557,
충청북도,충주시,충청북도 충주시,0.166473579,0.367960567,0.197735785,1.73851381,34.98597772,충주씨
경기도,평택시,경기도 평택시,0.025729522,0.647720271,0.404714658,1.667093764,33.76781747,평택이
충청북도,제천시,충청북도 제천시,0.207171888,0.238724584,0.088329655,1.66370354,33.70999286,꼬마신선 박달&꼬마선녀 금봉
부산광역시,부산진구,부산광역시 부산진구,0.075922674,0.545409735,0.357434554,1.658408021,33.61967101,부기
전라남도,순천시,전라남도 순천시,0.08379868,0.472858903,0.214121258,1.623448853,33.02339767,루미&뚱이
경기도,연천군,경기도 연천군,0.304947332,0.03012939,0.036520944,1.578603887,32.25850941,고롱이&미롱이
인천광역시,동구,인천광역시 동구,0.175576956,0.222828096,0.036609331,1.509759738,31.08428437,
전라남도,무안군,전라남도 무안군,0.122803031,0.320178681,0.077427081,1.497124117,30.86876769,무아니
경상남도,진주시,경상남도 진주시,0.100321418,0.393468885,0.202638579,1.479375163,30.56603658,논개
충청북도,음성군,충청북도 음성군,0.229408106,0.135181762,0.093839212,1.458746603,30.2141901,리뉴얼 전 거돌이
경상남도,거제시,경상남도 거제시,0.077897896,0.423967961,0.25606628,1.405327084,29.30305185,몽꾸
부산광역시,동구,부산광역시 동구,0.165944782,0.219254467,0.113459108,1.374028201,28.76920937,부기
경기도,여주시,경기도 여주시,0.193514594,0.177664818,0.126993981,1.373573446,28.76145295,세종대왕
부산광역시,금정구,부산광역시 금정구,0.149581388,0.265218731,0.174042276,1.369520856,28.69233084,부기
부산광역시,사하구,부산광역시 사하구,0.140656213,0.27969809,0.17559992,1.366775416,28.64550384,부기
부산광역시,서구,부산광역시 서구,0.171934443,0.194454713,0.087761968,1.355274387,28.44933908,부기
인천광역시,남동구,인천광역시 남동구,0.066303484,0.432162662,0.3295285,1.298476903,27.48058534,
경기도,포천시,경기도 포천시,0.185901738,0.151817622,0.14124763,1.243713926,26.5465327,오성과 한음
대구광역시,서구,대구광역시 서구,0.185640968,0.135797905,0.096954153,1.238644403,26.4600655,
전라남도,목포시,전라남도 목포시,0.114246656,0.288046827,0.214237581,1.221136179,26.16144033,포미&포포
인천광역시,부평구,인천광역시 부평구,0.054031134,0.415249538,0.31413583,1.201768454,25.831099,
경기도,부천시,경기도 부천시,0.054583051,0.510659273,0.609833027,1.19506005,25.71667859,부천핸썹
충청남도,서산시,충청남도 서산시,0.152061129,0.187276648,0.132856142,1.189279447,25.61808302,해누리&해나리
경기도,동두천시,경기도 동두천시,0.165710019,0.129297597,0.058885555,1.157557333,25.07702178,디디씨
경상북도,칠곡군,경상북도 칠곡군,0.136410026,0.17840419,0.088423654,1.128839043,24.58719461,호이
울산광역시,울주군,울산광역시 울주군,0.113971704,0.238570548,0.192001546,1.093568616,23.98561236,
부산광역시,중구,부산광역시 중구,0.162351381,0.105914972,0.124263775,1.005238048,22.47902151,부기
부산광역시,해운대구,부산광역시 해운대구,0.115079866,0.258441158,0.372418973,0.978303833,22.01962402,부기
부산광역시,수영구,부산광역시 수영구,0.099779478,0.214725816,0.168356068,0.974718771,21.95847619,부기
충청남도,당진시,충청남도 당진시,0.154989852,0.111398644,0.1526343,0.956510891,21.64791752,당학이
부산광역시,연제구,부산광역시 연제구,0.106228756,0.183980283,0.131121246,0.951963381,21.57035392,부기
