,도시레벨,연도,20~39세_여성,65세_이상_전체,지역소멸지수,소멸위험도
181,전라남도 구례군,2023,1355,18468,0.0733701537795105,0.5833523792407225
182,전라남도 나주시,2023,12234,56416,0.21685337492909812,0.14729520508999638
183,전라남도 담양군,2023,3230,30726,0.10512269738983271,0.3842893866198274
184,전라남도 목포시,2023,21591,84808,0.2545868314309971,0.11424665572197358
185,전라남도 무안군,2023,9248,37962,0.2436120330857173,0.12280303071953087
186,전라남도 보성군,2023,1926,31876,0.06042163383109549,0.7245853743580444
187,전라남도 순천시,2023,30583,100870,0.30319222761970854,0.08379868027711689
188,전라남도 신안군,2023,1806,29798,0.06060809450298678,0.7221233514867089
189,전라남도 여수시,2023,25762,122114,0.21096680151334,0.1535169212412965
190,전라남도 영광군,2023,4149,32528,0.12755164781111658,0.3034069335689176
191,전라남도 영암군,2023,3743,30562,0.12247235128591061,0.31912891833392876
192,전라남도 완도군,2023,2695,33510,0.08042375410325275,0.5255514248073645
193,전라남도 장성군,2023,2861,28268,0.10120984859204754,0.40207225146597975
194,전라남도 장흥군,2023,2140,26508,0.08073034555605854,0.5232681045836696
195,전라남도 진도군,2023,1791,21334,0.08395050154682666,0.5002936750312156
196,전라남도 함평군,2023,1687,24636,0.06847702549115116,0.6304447135911043
197,전라남도 해남군,2023,3870,46538,0.08315784949933387,0.5057838220442321
198,전라남도 화순군,2023,5080,36310,0.13990636188377858,0.26993066102054486
199,전라북도 고창군,2023,3001,39638,0.07571017710278016,0.5629831578876703
200,전라북도 군산시,2023,24107,113776,0.2118812403318802,0.1525277397952341
201,전라북도 김제시,2023,5983,55836,0.10715309119564438,0.37557359150683084
202,전라북도 남원시,2023,5496,48212,0.11399651539035925,0.3484838342477498
203,전라북도 무주군,2023,1342,17090,0.07852545348156817,0.5400858589432939
204,전라북도 부안군,2023,2979,36448,0.0817328797190518,0.5159213843569161
205,전라북도 순창군,2023,1679,19534,0.08595269786014129,0.4868767873985097
