,date,region,region_code,touDivNm,visitors
242,20230101,청주시 청원구,43114,현지인(a),87451.0
243,20230101,청주시 청원구,43114,외지인(b),64613.5
244,20230101,충주시,43130,현지인(a),139398.0
245,20230101,충주시,43130,외지인(b),77178.5
246,20230101,제천시,43150,현지인(a),58023.0
247,20230101,제천시,43150,외지인(b),42595.0
248,20230101,보은군,43720,현지인(a),14679.0
249,20230101,보은군,43720,외지인(b),20454.0
250,20230101,옥천군,43730,현지인(a),30107.0
251,20230101,옥천군,43730,외지인(b),35742.0
252,20230101,영동군,43740,현지인(a),25186.0
253,20230101,영동군,43740,외지인(b),19446.0
254,20230101,증평군,43745,현지인(a),22718.5
255,20230101,증평군,43745,외지인(b),15459.5
256,20230101,진천군,43750,현지인(a),36655.5
257,20230101,진천군,43750,외지인(b),30065.0
258,20230101,괴산군,43760,현지인(a),13321.0
259,20230101,괴산군,43760,외지인(b),28889.0
260,20230101,음성군,43770,현지인(a),54183.5
261,20230101,음성군,43770,외지인(b),50767.5
262,20230101,단양군,43800,현지인(a),14178.5
263,20230101,단양군,43800,외지인(b),28896.0
264,20230101,천안시 동남구,44131,현지인(a),118555.5
265,20230101,천안시 동남구,44131,외지인(b),119091.0
266,20230101,천안시 서북구,44133,현지인(a),125541.5
267,20230101,천안시 서북구,44133,외지인(b),96180.0
268,20230101,공주시,44150,현지인(a),44761.5
269,20230101,공주시,44150,외지인(b),92298.5
270,20230101,보령시,44180,현지인(a),71074.5
271,20230101,보령시,44180,외지인(b),77409.5
272,20230101,아산시,44200,현지인(a),155529.5
273,20230101,아산시,44200,외지인(b),91409.5
274,20230101,서산시,44210,현지인(a),94167.5
275,20230101,서산시,44210,외지인(b),60595.5
276,20230101,논산시,44230,현지인(a),67508.0
277,20230101,논산시,44230,외지인(b),46193.0
278,20230101,계룡시,44250,현지인(a),22659.0
279,20230101,계룡시,44250,외지인(b),13723.5
280,20230101,당진시,44270,현지인(a),101615.5
281,20230101,당진시,44270,외지인(b),95445.0
282,20230101,금산군,44710,현지인(a),31027.5
283,20230101,금산군,44710,외지인(b),33726.0
284,20230101,부여군,44760,현지인(a),44674.0
285,20230101,부여군,44760,외지인(b),37002.0
286,20230101,서천군,44770,현지인(a),32868.5
287,20230101,서천군,44770,외지인(b),39347.0
288,20230101,청양군,44790,현지인(a),14129.5
289,20230101,청양군,44790,외지인(b),21752.5
290,20230101,홍성군,44800,현지인(a),50141.0
291,20230101,홍성군,44800,외지인(b),38164.0
292,20230101,예산군,44810,현지인(a),45664.5
293,20230101,예산군,44810,외지인(b),51068.5
